epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8466,0.8451,0.8060,0.8584,0.6948,0.8010,0.1653,1.7395,2.5803,1.4155,2.4593,0.5104,0.8919,0.8463,0.8989,0.7497
2,0.8608,0.8327,0.7913,0.8668,0.7722,0.8157,0.1671,1.8124,2.4720,1.3142,2.5940,0.8716,0.8810,0.8250,0.9157,0.8214
3,0.8630,0.8312,0.7937,0.8658,0.7775,0.8171,0.1658,1.8472,2.5239,1.3604,2.5810,0.9222,0.8776,0.8288,0.9172,0.8283
4,0.8626,0.8357,0.7913,0.8695,0.7757,0.8181,0.1639,1.8827,2.5610,1.4120,2.6174,0.9372,0.8803,0.8245,0.9201,0.8251
5,0.8625,0.8349,0.7908,0.8658,0.7771,0.8171,0.1663,1.9002,2.6006,1.4322,2.6250,0.9464,0.8803,0.8259,0.9182,0.8261
6,0.8637,0.8349,0.7899,0.8671,0.7816,0.8184,0.1668,1.9222,2.6231,1.4379,2.6443,0.9757,0.8797,0.8252,0.9189,0.8307
7,0.8643,0.8362,0.7876,0.8679,0.7845,0.8190,0.1666,1.9336,2.6510,1.4575,2.6402,0.9882,0.8824,0.8215,0.9207,0.8329
8,0.8635,0.8329,0.7927,0.8672,0.7804,0.8183,0.1619,1.9417,2.6476,1.4885,2.6430,0.9876,0.8790,0.8272,0.9183,0.8296
9,0.8645,0.8345,0.7891,0.8679,0.7858,0.8193,0.1646,1.9522,2.6599,1.4834,2.6636,1.0059,0.8814,0.8238,0.9183,0.8347
10,0.8663,0.8366,0.7882,0.8690,0.7889,0.8207,0.1668,1.9665,2.6794,1.4898,2.6786,1.0168,0.8824,0.8236,0.9226,0.8364
11,0.8659,0.8351,0.7891,0.8688,0.7899,0.8206,0.1642,1.9621,2.6706,1.4802,2.6819,1.0262,0.8810,0.8245,0.9200,0.8385
12,0.8649,0.8338,0.7906,0.8677,0.7848,0.8192,0.1603,1.9809,2.6845,1.5185,2.7036,1.0214,0.8808,0.8247,0.9207,0.8337
13,0.8636,0.8312,0.7909,0.8688,0.7845,0.8189,0.1633,1.9737,2.6846,1.5166,2.6709,1.0201,0.8773,0.8253,0.9196,0.8321
14,0.8652,0.8363,0.7877,0.8676,0.7866,0.8195,0.1633,1.9821,2.7120,1.5029,2.6814,1.0324,0.8812,0.8228,0.9220,0.8352
15,0.8658,0.8372,0.7900,0.8688,0.7891,0.8213,0.1685,1.9859,2.7119,1.5171,2.6723,1.0371,0.8805,0.8246,0.9209,0.8368
16,0.8648,0.8350,0.7872,0.8699,0.7857,0.8195,0.1615,1.9909,2.7194,1.5134,2.6988,1.0315,0.8803,0.8228,0.9209,0.8349
17,0.8648,0.8326,0.7905,0.8704,0.7847,0.8196,0.1625,1.9953,2.7094,1.5286,2.6943,1.0408,0.8785,0.8250,0.9214,0.8343
18,0.8659,0.8364,0.7909,0.8681,0.7877,0.8207,0.1607,1.9964,2.7276,1.5415,2.6714,1.0454,0.8810,0.8254,0.9209,0.8364
19,0.8651,0.8348,0.7854,0.8712,0.7892,0.8202,0.1648,2.0022,2.7247,1.5229,2.7110,1.0466,0.8799,0.8203,0.9216,0.8379
20,0.8655,0.8367,0.7919,0.8699,0.7850,0.8209,0.1617,2.0099,2.7203,1.5537,2.7237,1.0459,0.8822,0.8253,0.9213,0.8334
21,0.8647,0.8332,0.7888,0.8690,0.7884,0.8197,0.1621,1.9951,2.7045,1.5265,2.7046,1.0634,0.8790,0.8230,0.9221,0.8355
22,0.8641,0.8348,0.7856,0.8686,0.7882,0.8193,0.1618,1.9985,2.7418,1.5166,2.6871,1.0501,0.8794,0.8203,0.9201,0.8367
23,0.8646,0.8346,0.7855,0.8671,0.7912,0.8195,0.1650,1.9903,2.7281,1.5078,2.6681,1.0678,0.8787,0.8205,0.9201,0.8396
24,0.8648,0.8320,0.7891,0.8670,0.7906,0.8196,0.1639,1.9910,2.7027,1.5309,2.6699,1.0656,0.8786,0.8229,0.9191,0.8389
25,0.8648,0.8343,0.7862,0.8688,0.7874,0.8192,0.1622,1.9941,2.6790,1.5249,2.7136,1.0582,0.8802,0.8219,0.9210,0.8358
