epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9972,0.9993,0.9986,0.9946,0.9954,0.9970,0.0030,9.9112,11.8930,10.6574,10.7982,6.2917,0.9993,0.9988,0.9953,0.9956
2,0.9990,0.9994,0.9985,0.9985,0.9987,0.9988,0.0033,9.9855,11.7073,10.6884,11.0834,6.4614,0.9995,0.9986,0.9990,0.9989
3,0.9990,0.9990,0.9988,0.9987,0.9986,0.9988,0.0026,10.0992,11.8631,10.7943,11.1442,6.5885,0.9990,0.9989,0.9992,0.9988
4,0.9990,0.9991,0.9985,0.9982,0.9991,0.9987,0.0026,10.1733,11.8252,10.9764,11.2387,6.6291,0.9993,0.9986,0.9988,0.9993
5,0.9990,0.9993,0.9988,0.9981,0.9987,0.9987,0.0026,10.2476,11.9229,11.1156,11.2209,6.7385,0.9994,0.9989,0.9990,0.9989
6,0.9991,0.9993,0.9986,0.9988,0.9988,0.9989,0.0033,10.3185,12.0004,11.1885,11.2957,6.8133,0.9993,0.9987,0.9994,0.9989
7,0.9992,0.9994,0.9987,0.9988,0.9988,0.9989,0.0035,10.3860,11.9963,11.2849,11.3591,6.8614,0.9995,0.9988,0.9994,0.9990
8,0.9992,0.9992,0.9990,0.9988,0.9990,0.9990,0.0028,10.4363,12.0919,11.3747,11.3543,6.9566,0.9993,0.9990,0.9991,0.9992
9,0.9991,0.9992,0.9989,0.9987,0.9989,0.9989,0.0030,10.5094,12.0895,11.4740,11.4771,6.9866,0.9993,0.9989,0.9991,0.9990
10,0.9992,0.9992,0.9990,0.9988,0.9990,0.9990,0.0024,10.5573,12.1488,11.5897,11.4386,7.0384,0.9993,0.9990,0.9993,0.9991
11,0.9992,0.9993,0.9991,0.9982,0.9992,0.9990,0.0019,10.6101,12.1187,11.6838,11.5626,7.0737,0.9994,0.9991,0.9990,0.9993
12,0.9991,0.9993,0.9987,0.9986,0.9990,0.9989,0.0029,10.6722,12.1810,11.7957,11.6297,7.1121,0.9994,0.9987,0.9991,0.9990
13,0.9991,0.9992,0.9989,0.9984,0.9988,0.9988,0.0020,10.6759,12.1825,11.7640,11.5900,7.2298,0.9993,0.9990,0.9989,0.9990
14,0.9992,0.9995,0.9988,0.9987,0.9986,0.9989,0.0023,10.7486,12.3055,11.8408,11.6377,7.2197,0.9996,0.9988,0.9994,0.9988
15,0.9993,0.9997,0.9991,0.9989,0.9990,0.9992,0.0028,10.8216,12.3371,11.9649,11.7082,7.2668,0.9997,0.9992,0.9992,0.9991
16,0.9991,0.9994,0.9988,0.9987,0.9987,0.9989,0.0021,10.8884,12.4539,12.0504,11.7389,7.2969,0.9995,0.9988,0.9993,0.9988
17,0.9992,0.9991,0.9990,0.9987,0.9990,0.9990,0.0022,10.9002,12.4417,12.1073,11.7247,7.2992,0.9993,0.9990,0.9992,0.9992
18,0.9991,0.9994,0.9988,0.9989,0.9989,0.9990,0.0024,10.9269,12.5170,12.1265,11.6893,7.3684,0.9994,0.9989,0.9992,0.9990
19,0.9991,0.9993,0.9988,0.9986,0.9988,0.9989,0.0029,10.9754,12.5647,12.1133,11.8071,7.4626,0.9994,0.9988,0.9994,0.9990
20,0.9992,0.9994,0.9986,0.9990,0.9988,0.9990,0.0026,11.0191,12.5365,12.2250,11.8863,7.4397,0.9996,0.9988,0.9994,0.9990
21,0.9992,0.9993,0.9989,0.9988,0.9990,0.9990,0.0020,11.0533,12.5137,12.2914,11.9214,7.4786,0.9994,0.9990,0.9993,0.9991
22,0.9993,0.9997,0.9988,0.9992,0.9991,0.9992,0.0023,11.1025,12.6209,12.3661,11.9545,7.4759,0.9997,0.9988,0.9995,0.9991
23,0.9993,0.9994,0.9990,0.9989,0.9989,0.9991,0.0020,11.1194,12.6396,12.3733,11.9280,7.5367,0.9995,0.9991,0.9993,0.9992
24,0.9992,0.9994,0.9989,0.9989,0.9989,0.9990,0.0024,11.1647,12.6344,12.4863,11.9998,7.5559,0.9995,0.9990,0.9992,0.9991
25,0.9993,0.9995,0.9990,0.9987,0.9989,0.9991,0.0015,11.2216,12.7539,12.4986,12.0403,7.6041,0.9996,0.9991,0.9994,0.9991
