epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9461,0.9197,0.9643,0.8465,0.3187,0.9226,0.5060,1.4808,1.5340,1.6710,0.8680,-0.3245,0.9460,0.9907,0.8501,0.3864
2,0.9471,0.9179,0.9643,0.8475,0.2906,0.9217,0.5125,0.9620,1.0187,1.0304,0.6590,-0.2700,0.9466,0.9928,0.8505,0.3598
3,0.9465,0.9167,0.9638,0.8449,0.2704,0.9204,0.5148,0.9528,1.0182,1.0066,0.6651,-0.2705,0.9463,0.9924,0.8484,0.3569
4,0.9468,0.9169,0.9633,0.8473,0.2660,0.9206,0.5438,0.9397,1.0046,0.9953,0.6475,-0.2768,0.9464,0.9927,0.8502,0.3461
5,0.9462,0.9171,0.9630,0.8435,0.2797,0.9202,0.5386,0.9431,1.0153,0.9833,0.6718,-0.2523,0.9463,0.9924,0.8471,0.3497
6,0.9468,0.9156,0.9629,0.8461,0.3014,0.9200,0.5933,0.9599,1.0342,1.0019,0.6782,-0.2545,0.9462,0.9928,0.8490,0.3749
7,0.9469,0.9170,0.9642,0.8478,0.2531,0.9210,0.5258,0.9360,1.0045,0.9772,0.6741,-0.2696,0.9464,0.9931,0.8507,0.3331
8,0.9464,0.9170,0.9624,0.8450,0.2754,0.9201,0.5149,0.9902,1.0449,1.0640,0.6816,-0.3101,0.9467,0.9920,0.8480,0.3583
9,0.9469,0.9165,0.9629,0.8474,0.2913,0.9205,0.5392,0.9781,1.0542,1.0188,0.6963,-0.2627,0.9469,0.9921,0.8505,0.3605
10,0.9477,0.9173,0.9645,0.8490,0.2884,0.9217,0.5493,0.8916,0.9572,0.9344,0.6299,-0.2455,0.9471,0.9933,0.8516,0.3590
11,0.9467,0.9169,0.9635,0.8465,0.2884,0.9208,0.4979,0.9569,1.0270,1.0047,0.6717,-0.2641,0.9463,0.9924,0.8496,0.3648
12,0.9484,0.9181,0.9642,0.8530,0.2927,0.9226,0.5343,0.8912,0.9524,0.9406,0.6243,-0.2442,0.9475,0.9931,0.8557,0.3641
13,0.9476,0.9180,0.9646,0.8478,0.2884,0.9219,0.4566,0.8965,0.9712,0.9192,0.6650,-0.2374,0.9475,0.9928,0.8508,0.3684
14,0.9475,0.9174,0.9652,0.8496,0.2790,0.9221,0.5098,0.9225,0.9979,0.9526,0.6689,-0.2364,0.9462,0.9935,0.8529,0.3533
15,0.9483,0.9173,0.9643,0.8520,0.2848,0.9220,0.5568,0.8879,0.9599,0.9217,0.6330,-0.2519,0.9471,0.9933,0.8551,0.3691
16,0.9471,0.9169,0.9633,0.8471,0.2733,0.9207,0.5026,0.9532,1.0237,0.9975,0.6777,-0.2831,0.9471,0.9925,0.8503,0.3569
17,0.9461,0.9158,0.9632,0.8447,0.2970,0.9200,0.6255,0.9590,1.0248,1.0130,0.6694,-0.2631,0.9455,0.9923,0.8480,0.3691
18,0.9466,0.9164,0.9631,0.8460,0.2906,0.9204,0.5487,0.9321,0.9931,0.9870,0.6529,-0.2583,0.9463,0.9924,0.8488,0.3648
19,0.9479,0.9174,0.9635,0.8505,0.2877,0.9216,0.5170,0.9200,1.0054,0.9360,0.6759,-0.2348,0.9473,0.9930,0.8531,0.3605
20,0.9472,0.9162,0.9636,0.8493,0.2769,0.9208,0.5969,0.9346,0.9920,0.9948,0.6518,-0.2689,0.9463,0.9931,0.8524,0.3475
21,0.9475,0.9179,0.9644,0.8479,0.2855,0.9218,0.5762,0.9205,0.9954,0.9538,0.6596,-0.2465,0.9469,0.9929,0.8511,0.3735
22,0.9475,0.9179,0.9635,0.8474,0.2978,0.9215,0.5062,0.9390,0.9989,0.9919,0.6688,-0.2537,0.9473,0.9931,0.8500,0.3699
23,0.9469,0.9169,0.9630,0.8458,0.2963,0.9206,0.6203,0.9413,1.0021,0.9992,0.6550,-0.2666,0.9471,0.9923,0.8489,0.3663
24,0.9471,0.9172,0.9633,0.8479,0.3064,0.9212,0.5549,0.9431,1.0095,0.9874,0.6771,-0.2352,0.9466,0.9924,0.8505,0.3807
25,0.9463,0.9162,0.9627,0.8438,0.2920,0.9198,0.5460,0.9554,1.0415,0.9809,0.6846,-0.2480,0.9462,0.9925,0.8463,0.3742
