epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8409,0.8414,0.8019,0.8515,0.6778,0.7930,0.1718,1.6634,2.4327,1.3288,2.4526,0.4458,0.8909,0.8458,0.8932,0.7341
2,0.8547,0.8308,0.7860,0.8598,0.7546,0.8078,0.1745,1.7355,2.3235,1.2189,2.5948,0.8073,0.8812,0.8239,0.9096,0.8042
3,0.8564,0.8282,0.7885,0.8601,0.7598,0.8091,0.1722,1.7673,2.3679,1.2629,2.5772,0.8596,0.8761,0.8263,0.9117,0.8113
4,0.8570,0.8319,0.7864,0.8629,0.7595,0.8102,0.1701,1.7968,2.3920,1.3058,2.6099,0.8761,0.8798,0.8245,0.9148,0.8087
5,0.8568,0.8312,0.7864,0.8598,0.7636,0.8102,0.1735,1.8101,2.4341,1.3189,2.6119,0.8802,0.8789,0.8242,0.9134,0.8112
6,0.8582,0.8321,0.7862,0.8607,0.7661,0.8113,0.1740,1.8297,2.4491,1.3234,2.6297,0.9097,0.8790,0.8239,0.9140,0.8156
7,0.8591,0.8324,0.7815,0.8616,0.7701,0.8114,0.1732,1.8374,2.4725,1.3350,2.6234,0.9217,0.8821,0.8200,0.9157,0.8190
8,0.8579,0.8292,0.7886,0.8604,0.7657,0.8110,0.1688,1.8426,2.4637,1.3656,2.6204,0.9208,0.8769,0.8266,0.9137,0.8145
9,0.8587,0.8311,0.7839,0.8616,0.7729,0.8123,0.1718,1.8535,2.4811,1.3568,2.6397,0.9393,0.8788,0.8207,0.9133,0.8222
10,0.8600,0.8308,0.7829,0.8625,0.7740,0.8126,0.1731,1.8655,2.4962,1.3616,2.6506,0.9519,0.8802,0.8210,0.9175,0.8212
11,0.8606,0.8326,0.7840,0.8624,0.7753,0.8134,0.1707,1.8610,2.4883,1.3526,2.6550,0.9586,0.8803,0.8221,0.9153,0.8251
12,0.8596,0.8295,0.7858,0.8617,0.7725,0.8123,0.1667,1.8783,2.5005,1.3882,2.6766,0.9519,0.8787,0.8224,0.9158,0.8216
13,0.8582,0.8272,0.7847,0.8614,0.7727,0.8116,0.1710,1.8716,2.5017,1.3830,2.6459,0.9528,0.8760,0.8222,0.9143,0.8202
14,0.8598,0.8329,0.7821,0.8606,0.7731,0.8121,0.1708,1.8777,2.5255,1.3667,2.6561,0.9635,0.8795,0.8209,0.9166,0.8222
15,0.8612,0.8337,0.7872,0.8610,0.7771,0.8148,0.1748,1.8800,2.5248,1.3831,2.6392,0.9677,0.8794,0.8237,0.9162,0.8253
16,0.8599,0.8311,0.7828,0.8628,0.7732,0.8125,0.1685,1.8826,2.5282,1.3768,2.6648,0.9597,0.8784,0.8214,0.9162,0.8235
17,0.8594,0.8287,0.7855,0.8624,0.7727,0.8124,0.1695,1.8844,2.5181,1.3897,2.6554,0.9669,0.8763,0.8228,0.9160,0.8222
18,0.8607,0.8315,0.7857,0.8625,0.7764,0.8140,0.1682,1.8862,2.5361,1.4028,2.6324,0.9742,0.8784,0.8232,0.9164,0.8248
19,0.8607,0.8318,0.7814,0.8652,0.7793,0.8145,0.1722,1.8917,2.5290,1.3849,2.6754,0.9729,0.8781,0.8185,0.9177,0.8283
20,0.8602,0.8326,0.7857,0.8637,0.7734,0.8138,0.1689,1.8974,2.5229,1.4149,2.6845,0.9714,0.8796,0.8226,0.9170,0.8221
21,0.8596,0.8292,0.7832,0.8612,0.7779,0.8127,0.1690,1.8817,2.5096,1.3866,2.6637,0.9849,0.8764,0.8200,0.9174,0.8252
22,0.8597,0.8310,0.7819,0.8627,0.7766,0.8130,0.1689,1.8862,2.5544,1.3761,2.6442,0.9721,0.8782,0.8189,0.9162,0.8255
23,0.8602,0.8295,0.7808,0.8611,0.7822,0.8133,0.1713,1.8782,2.5336,1.3695,2.6260,0.9944,0.8767,0.8189,0.9161,0.8296
24,0.8602,0.8286,0.7841,0.8597,0.7796,0.8129,0.1704,1.8792,2.5082,1.3933,2.6313,0.9899,0.8773,0.8218,0.9143,0.8279
25,0.8598,0.8303,0.7799,0.8628,0.7763,0.8124,0.1689,1.8816,2.4880,1.3849,2.6717,0.9801,0.8779,0.8181,0.9172,0.8258
