epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9909,0.9913,0.9946,0.9771,0.8183,0.9892,0.1863,7.5252,8.0498,7.7299,5.6545,1.4243,0.9927,0.9963,0.9786,0.8407
2,0.9925,0.9926,0.9951,0.9816,0.8392,0.9908,0.1200,7.8200,8.3522,8.0016,6.0032,1.5557,0.9940,0.9968,0.9833,0.8580
3,0.9928,0.9929,0.9956,0.9821,0.8457,0.9912,0.0923,8.0336,8.7287,8.0033,6.3366,1.5925,0.9943,0.9970,0.9833,0.8688
4,0.9930,0.9932,0.9952,0.9835,0.8457,0.9914,0.0996,8.2029,8.8762,8.2295,6.4087,1.7502,0.9946,0.9967,0.9849,0.8652
5,0.9932,0.9934,0.9955,0.9838,0.8421,0.9916,0.1275,8.2849,8.9610,8.3018,6.5129,1.7837,0.9948,0.9969,0.9851,0.8616
6,0.9934,0.9936,0.9961,0.9841,0.8580,0.9921,0.1323,8.3976,9.0462,8.4606,6.5795,1.8571,0.9947,0.9971,0.9852,0.8782
7,0.9924,0.9922,0.9956,0.9803,0.8565,0.9908,0.1406,8.6498,9.5799,8.3498,7.0303,1.8006,0.9936,0.9972,0.9819,0.8753
8,0.9938,0.9937,0.9959,0.9854,0.8659,0.9924,0.1018,8.7251,9.5932,8.4802,7.1384,1.8775,0.9950,0.9972,0.9865,0.8832
9,0.9938,0.9940,0.9959,0.9854,0.8587,0.9924,0.1471,8.7304,9.4835,8.6703,6.9615,1.9196,0.9951,0.9972,0.9864,0.8774
10,0.9935,0.9935,0.9963,0.9828,0.8709,0.9921,0.1012,8.7937,9.6892,8.5471,7.1310,1.8662,0.9947,0.9976,0.9840,0.8919
11,0.9943,0.9947,0.9958,0.9875,0.8673,0.9931,0.0748,8.8062,9.7634,8.4685,7.2126,1.9428,0.9957,0.9971,0.9884,0.8846
12,0.9944,0.9951,0.9959,0.9877,0.8594,0.9933,0.0876,8.8334,9.6853,8.6829,7.0231,1.9538,0.9962,0.9971,0.9885,0.8745
13,0.9937,0.9938,0.9963,0.9837,0.8709,0.9924,0.1378,8.6521,9.5883,8.3777,6.9300,1.9417,0.9949,0.9976,0.9850,0.8911
14,0.9946,0.9949,0.9960,0.9872,0.8767,0.9933,0.0653,8.9590,9.8729,8.7331,7.1831,1.9523,0.9960,0.9972,0.9882,0.8976
15,0.9945,0.9949,0.9964,0.9873,0.8760,0.9934,0.1189,9.0088,9.8147,8.9407,7.1086,2.0197,0.9958,0.9974,0.9881,0.8926
16,0.9943,0.9945,0.9960,0.9866,0.8753,0.9930,0.1108,9.1007,9.7817,9.2098,7.0748,2.0897,0.9958,0.9973,0.9875,0.8875
17,0.9943,0.9944,0.9964,0.9862,0.8774,0.9931,0.1242,9.1906,9.9303,9.2408,7.1566,2.1182,0.9955,0.9975,0.9872,0.8933
18,0.9943,0.9948,0.9963,0.9860,0.8681,0.9931,0.1227,9.1012,9.8653,9.1092,7.1107,2.0931,0.9958,0.9974,0.9873,0.8854
19,0.9942,0.9943,0.9962,0.9855,0.8695,0.9928,0.1520,9.1628,9.8747,9.2663,7.0641,2.0320,0.9956,0.9975,0.9867,0.8904
20,0.9936,0.9936,0.9966,0.9838,0.8753,0.9925,0.0843,9.3903,10.3508,9.1016,7.6709,2.0681,0.9946,0.9977,0.9846,0.8897
21,0.9949,0.9952,0.9968,0.9879,0.8818,0.9938,0.0621,9.2243,10.2534,8.8347,7.5748,2.0773,0.9960,0.9977,0.9887,0.8976
22,0.9945,0.9946,0.9963,0.9867,0.8854,0.9933,0.1172,9.0434,10.1160,8.5766,7.4734,2.0480,0.9958,0.9975,0.9876,0.8998
23,0.9946,0.9946,0.9964,0.9869,0.8868,0.9934,0.0657,9.1150,10.0843,8.8143,7.3849,2.0950,0.9957,0.9975,0.9879,0.9041
24,0.9943,0.9945,0.9965,0.9858,0.8832,0.9932,0.0987,8.9858,10.0389,8.5656,7.3359,2.0772,0.9955,0.9976,0.9869,0.9012
25,0.9942,0.9945,0.9962,0.9861,0.8767,0.9930,0.1220,9.1483,10.1969,8.7451,7.4771,2.0038,0.9956,0.9974,0.9870,0.8897
