epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.6766,0.9178,0.9344,0.6741,0.0180,0.6361,0.2401,1.5896,4.6708,3.7126,0.9052,-2.9300,0.9668,0.9993,0.6741,0.0663
2,0.7401,0.9070,0.9200,0.7924,0.1514,0.6927,0.1633,1.8216,3.9800,2.9455,1.8283,-1.4676,0.9495,0.9870,0.7981,0.2257
3,0.8053,0.8919,0.8767,0.8407,0.4232,0.7581,0.1241,1.9087,3.5049,2.1772,2.3418,-0.3889,0.9265,0.9445,0.8565,0.4939
4,0.8398,0.8738,0.8385,0.8609,0.5948,0.7920,0.1116,1.9179,3.1592,1.6760,2.6087,0.2277,0.9070,0.9034,0.8911,0.6575
5,0.8524,0.8551,0.8061,0.8695,0.6878,0.8046,0.1069,1.8906,2.8849,1.3664,2.7452,0.5660,0.8904,0.8659,0.9034,0.7498
6,0.8609,0.8551,0.7974,0.8724,0.7325,0.8143,0.1051,1.8974,2.7922,1.3010,2.7836,0.7128,0.8926,0.8522,0.9120,0.7866
7,0.8598,0.8500,0.7938,0.8717,0.7376,0.8133,0.1042,1.8904,2.7395,1.2543,2.8001,0.7675,0.8882,0.8435,0.9156,0.7916
8,0.8596,0.8435,0.7866,0.8774,0.7505,0.8145,0.1045,1.8850,2.6566,1.2320,2.8114,0.8399,0.8839,0.8342,0.9207,0.7996
9,0.8605,0.8428,0.7880,0.8803,0.7570,0.8171,0.1040,1.8812,2.6331,1.2296,2.7925,0.8694,0.8854,0.8306,0.9207,0.8053
10,0.8646,0.8378,0.7996,0.8818,0.7628,0.8205,0.1025,1.8805,2.6263,1.2541,2.7789,0.8625,0.8825,0.8371,0.9272,0.8118
11,0.8625,0.8378,0.7808,0.8731,0.7642,0.8140,0.1035,1.8790,2.6085,1.2593,2.7603,0.8878,0.8854,0.8277,0.9229,0.8140
12,0.8607,0.8407,0.7960,0.8753,0.7556,0.8169,0.1036,1.8731,2.5697,1.2941,2.7443,0.8842,0.8875,0.8342,0.9185,0.8025
13,0.8641,0.8407,0.7967,0.8724,0.7671,0.8192,0.1033,1.8792,2.6116,1.2893,2.7331,0.8828,0.8861,0.8342,0.9200,0.8161
14,0.8594,0.8371,0.7916,0.8724,0.7556,0.8142,0.1044,1.8649,2.5838,1.2667,2.7218,0.8873,0.8825,0.8313,0.9193,0.8046
15,0.8666,0.8385,0.8010,0.8760,0.7693,0.8212,0.1030,1.8819,2.6078,1.3175,2.7135,0.8888,0.8839,0.8407,0.9257,0.8161
16,0.8639,0.8450,0.7960,0.8695,0.7642,0.8187,0.1036,1.8614,2.5896,1.2719,2.6777,0.9064,0.8882,0.8356,0.9200,0.8118
17,0.8623,0.8392,0.7952,0.8702,0.7628,0.8169,0.1024,1.8684,2.5899,1.3001,2.6721,0.9116,0.8868,0.8306,0.9193,0.8125
18,0.8623,0.8399,0.7902,0.8753,0.7621,0.8169,0.1022,1.8782,2.5908,1.3173,2.7015,0.9030,0.8861,0.8270,0.9257,0.8104
19,0.8607,0.8392,0.7974,0.8616,0.7650,0.8158,0.1026,1.8731,2.6058,1.2963,2.6758,0.9146,0.8825,0.8342,0.9135,0.8125
20,0.8655,0.8407,0.7888,0.8796,0.7671,0.8190,0.1035,1.8672,2.5485,1.3055,2.6904,0.9245,0.8890,0.8306,0.9279,0.8147
21,0.8664,0.8450,0.8039,0.8724,0.7693,0.8226,0.1019,1.8752,2.5958,1.3116,2.6801,0.9135,0.8882,0.8407,0.9207,0.8161
22,0.8664,0.8414,0.7960,0.8717,0.7751,0.8210,0.1019,1.8797,2.6109,1.3121,2.6711,0.9248,0.8868,0.8349,0.9243,0.8198
23,0.8643,0.8472,0.7967,0.8724,0.7686,0.8212,0.1028,1.8853,2.5995,1.3342,2.6854,0.9221,0.8868,0.8335,0.9200,0.8169
24,0.8655,0.8443,0.7909,0.8760,0.7714,0.8207,0.1032,1.8715,2.5726,1.3101,2.6789,0.9245,0.8904,0.8298,0.9265,0.8154
25,0.8605,0.8378,0.7931,0.8659,0.7664,0.8158,0.1028,1.8766,2.5961,1.3219,2.6700,0.9185,0.8846,0.8291,0.9171,0.8111
26,0.8623,0.8399,0.7960,0.8673,0.7714,0.8187,0.1026,1.8696,2.6013,1.3183,2.6452,0.9136,0.8868,0.8327,0.9135,0.8161
27,0.8639,0.8435,0.7960,0.8695,0.7700,0.8198,0.1029,1.8690,2.5810,1.3086,2.6472,0.9391,0.8854,0.8320,0.9193,0.8190
28,0.8654,0.8472,0.7960,0.8702,0.7678,0.8203,0.1021,1.8810,2.5974,1.3245,2.6610,0.9411,0.8919,0.8356,0.9200,0.8140
29,0.8625,0.8399,0.7924,0.8645,0.7642,0.8152,0.1027,1.8744,2.5949,1.3247,2.6483,0.9298,0.8875,0.8313,0.9200,0.8111
30,0.8634,0.8435,0.7931,0.8738,0.7707,0.8203,0.1033,1.8780,2.6015,1.3168,2.6671,0.9267,0.8882,0.8327,0.9200,0.8125
31,0.8621,0.8378,0.7981,0.8623,0.7736,0.8180,0.1033,1.8719,2.5927,1.3257,2.6438,0.9252,0.8832,0.8320,0.9135,0.8198
