epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8157,0.8025,0.8015,0.8271,0.5898,0.7551,0.2051,1.2844,2.0223,1.0225,2.0811,0.0184,0.8634,0.8563,0.8843,0.6598
2,0.8352,0.7868,0.7743,0.8321,0.7087,0.7754,0.2042,1.3706,1.9275,0.9371,2.1556,0.4646,0.8525,0.8181,0.8996,0.7708
3,0.8397,0.7869,0.7726,0.8317,0.7214,0.7782,0.2014,1.4131,1.9708,1.0018,2.1253,0.5532,0.8534,0.8182,0.9020,0.7850
4,0.8399,0.7890,0.7682,0.8324,0.7284,0.7796,0.2011,1.4479,1.9985,1.0480,2.1469,0.5952,0.8557,0.8124,0.9032,0.7880
5,0.8397,0.7879,0.7651,0.8320,0.7303,0.7788,0.2023,1.4664,2.0406,1.0649,2.1488,0.6149,0.8561,0.8095,0.9043,0.7895
6,0.8416,0.7883,0.7658,0.8322,0.7358,0.7805,0.2033,1.4784,2.0408,1.0791,2.1484,0.6391,0.8553,0.8106,0.9056,0.7949
7,0.8434,0.7912,0.7631,0.8322,0.7425,0.7822,0.2029,1.4909,2.0764,1.0876,2.1458,0.6563,0.8588,0.8071,0.9074,0.8008
8,0.8419,0.7873,0.7647,0.8325,0.7404,0.7812,0.1986,1.5006,2.0702,1.1222,2.1474,0.6624,0.8527,0.8102,0.9053,0.7995
9,0.8416,0.7872,0.7592,0.8338,0.7431,0.7808,0.2005,1.5054,2.0817,1.1130,2.1609,0.6687,0.8536,0.8037,0.9071,0.8020
10,0.8425,0.7889,0.7587,0.8321,0.7467,0.7816,0.2018,1.5163,2.0999,1.1159,2.1631,0.6850,0.8537,0.8052,0.9069,0.8039
11,0.8430,0.7873,0.7604,0.8326,0.7484,0.7821,0.1984,1.5081,2.0857,1.1054,2.1603,0.6901,0.8539,0.8060,0.9049,0.8075
12,0.8418,0.7860,0.7608,0.8348,0.7456,0.7818,0.1995,1.5253,2.0950,1.1415,2.1841,0.6838,0.8525,0.8036,0.9088,0.8026
13,0.8418,0.7843,0.7611,0.8334,0.7443,0.7808,0.2000,1.5193,2.0879,1.1381,2.1652,0.6834,0.8513,0.8053,0.9088,0.8017
14,0.8434,0.7893,0.7589,0.8350,0.7489,0.7830,0.1991,1.5273,2.1168,1.1310,2.1677,0.6947,0.8523,0.8041,0.9105,0.8067
15,0.8445,0.7892,0.7637,0.8349,0.7500,0.7845,0.2042,1.5278,2.1126,1.1453,2.1489,0.7000,0.8532,0.8084,0.9100,0.8063
16,0.8432,0.7856,0.7595,0.8366,0.7483,0.7826,0.1981,1.5337,2.1100,1.1442,2.1767,0.7032,0.8515,0.8060,0.9092,0.8061
17,0.8440,0.7876,0.7597,0.8373,0.7496,0.7836,0.1989,1.5358,2.1047,1.1534,2.1759,0.7024,0.8529,0.8046,0.9116,0.8066
18,0.8436,0.7884,0.7583,0.8365,0.7499,0.7832,0.1987,1.5332,2.1240,1.1610,2.1400,0.7080,0.8526,0.8046,0.9103,0.8071
19,0.8434,0.7868,0.7555,0.8368,0.7531,0.7832,0.2030,1.5411,2.1218,1.1474,2.1788,0.7128,0.8510,0.8013,0.9108,0.8098
20,0.8444,0.7871,0.7611,0.8399,0.7509,0.7847,0.1969,1.5430,2.1126,1.1740,2.1862,0.7023,0.8537,0.8047,0.9120,0.8073
21,0.8426,0.7853,0.7566,0.8363,0.7536,0.7828,0.1989,1.5281,2.1000,1.1510,2.1622,0.7149,0.8499,0.8014,0.9106,0.8092
22,0.8438,0.7892,0.7553,0.8359,0.7552,0.7838,0.1950,1.5361,2.1371,1.1429,2.1556,0.7107,0.8531,0.8013,0.9101,0.8109
23,0.8439,0.7879,0.7545,0.8338,0.7578,0.7834,0.1981,1.5284,2.1237,1.1383,2.1345,0.7269,0.8517,0.8005,0.9100,0.8139
24,0.8435,0.7846,0.7585,0.8348,0.7576,0.7837,0.1982,1.5335,2.0995,1.1651,2.1422,0.7323,0.8493,0.8043,0.9069,0.8139
25,0.8430,0.7862,0.7539,0.8390,0.7537,0.7833,0.1983,1.5354,2.0883,1.1509,2.1827,0.7190,0.8525,0.7981,0.9115,0.8095
