epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9975,0.9993,0.9994,0.9949,0.9960,0.9974,0.0015,11.8647,14.3146,13.0401,12.5125,7.5872,0.9993,0.9994,0.9950,0.9960
2,0.9991,0.9993,0.9994,0.9985,0.9991,0.9991,0.0015,11.8625,13.8202,12.7746,13.0208,7.8323,0.9993,0.9994,0.9987,0.9991
3,0.9993,0.9994,0.9996,0.9987,0.9996,0.9993,0.0012,11.9158,13.9096,12.9064,13.0046,7.8355,0.9994,0.9996,0.9988,0.9996
4,0.9993,0.9995,0.9993,0.9987,0.9995,0.9992,0.0012,11.9291,13.8166,12.9743,13.0424,7.8553,0.9995,0.9993,0.9988,0.9995
5,0.9993,0.9993,0.9996,0.9985,0.9996,0.9993,0.0017,11.9613,13.8840,13.1734,12.8921,7.9049,0.9993,0.9996,0.9987,0.9996
6,0.9994,0.9996,0.9995,0.9989,0.9996,0.9994,0.0012,11.9797,13.8891,13.1314,12.9605,7.9646,0.9996,0.9995,0.9990,0.9996
7,0.9994,0.9995,0.9996,0.9990,0.9994,0.9994,0.0013,12.0144,13.8961,13.2203,12.9143,7.9769,0.9995,0.9997,0.9992,0.9994
8,0.9994,0.9995,0.9996,0.9990,0.9995,0.9994,0.0015,12.0189,13.9143,13.3346,12.8828,7.9819,0.9995,0.9996,0.9991,0.9995
9,0.9995,0.9996,0.9996,0.9991,0.9997,0.9995,0.0018,12.0756,13.8958,13.4509,12.9263,8.0181,0.9996,0.9996,0.9992,0.9997
10,0.9996,0.9997,0.9997,0.9990,0.9996,0.9995,0.0012,12.0944,13.9471,13.4767,12.8823,8.0552,0.9997,0.9997,0.9992,0.9996
11,0.9996,0.9997,0.9997,0.9990,0.9998,0.9996,0.0011,12.0964,13.8712,13.4878,12.9486,8.0747,0.9998,0.9997,0.9992,0.9998
12,0.9994,0.9998,0.9995,0.9986,0.9995,0.9994,0.0012,12.1290,13.8865,13.6208,12.9708,8.0712,0.9998,0.9996,0.9988,0.9995
13,0.9994,0.9996,0.9996,0.9989,0.9994,0.9994,0.0013,12.0940,13.8155,13.5248,12.9014,8.2066,0.9996,0.9997,0.9991,0.9994
14,0.9996,0.9996,0.9996,0.9990,0.9998,0.9995,0.0010,12.1452,13.8992,13.6338,12.9234,8.1352,0.9997,0.9997,0.9993,0.9998
15,0.9996,0.9996,0.9998,0.9991,0.9996,0.9995,0.0013,12.1911,13.9746,13.6949,12.8528,8.2347,0.9997,0.9998,0.9992,0.9996
16,0.9996,0.9998,0.9995,0.9993,0.9997,0.9996,0.0010,12.2487,14.0704,13.8815,12.8783,8.1481,0.9998,0.9996,0.9995,0.9997
17,0.9996,0.9994,0.9996,0.9992,0.9997,0.9995,0.0009,12.2324,14.0025,13.8410,12.8479,8.2122,0.9995,0.9997,0.9994,0.9997
18,0.9995,0.9996,0.9995,0.9991,0.9996,0.9994,0.0015,12.2354,14.0313,13.8390,12.8425,8.2213,0.9996,0.9996,0.9993,0.9996
19,0.9996,0.9996,0.9996,0.9993,0.9997,0.9995,0.0023,12.2625,14.0627,13.8777,12.8587,8.3058,0.9997,0.9996,0.9994,0.9997
20,0.9997,0.9997,0.9999,0.9992,0.9998,0.9996,0.0011,12.2851,14.0214,13.9257,12.8815,8.3272,0.9998,0.9999,0.9994,0.9998
21,0.9995,0.9995,0.9996,0.9992,0.9996,0.9994,0.0009,12.3026,13.9309,14.0379,12.9277,8.3047,0.9995,0.9997,0.9993,0.9996
22,0.9997,0.9998,0.9997,0.9994,0.9997,0.9997,0.0006,12.3414,14.0696,14.0779,12.8950,8.3311,0.9998,0.9998,0.9995,0.9997
23,0.9996,0.9996,0.9998,0.9993,0.9997,0.9996,0.0010,12.3272,14.0306,14.0499,12.8315,8.3964,0.9997,0.9998,0.9994,0.9997
24,0.9996,0.9997,0.9996,0.9994,0.9997,0.9996,0.0013,12.3624,14.0118,14.1584,12.9210,8.3727,0.9997,0.9996,0.9995,0.9997
25,0.9997,0.9997,0.9999,0.9996,0.9998,0.9997,0.0007,12.4064,14.0877,14.2591,12.8437,8.4475,0.9997,0.9999,0.9996,0.9998
