epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9348,0.8776,0.9376,0.8091,0.0541,0.8856,0.6813,0.9573,0.9770,1.1210,0.5204,-0.7447,0.9364,0.9918,0.8108,0.1442
2,0.9352,0.8691,0.9435,0.8114,0.0079,0.8842,0.6966,0.4607,0.5248,0.4574,0.3188,-0.3429,0.9347,0.9950,0.8119,0.1060
3,0.9355,0.8677,0.9447,0.8156,0.0043,0.8846,0.6700,0.4394,0.4948,0.4403,0.3092,-0.3185,0.9339,0.9954,0.8157,0.1103
4,0.9356,0.8694,0.9456,0.8124,0.0029,0.8853,0.6795,0.4329,0.4971,0.4209,0.3121,-0.3161,0.9350,0.9953,0.8126,0.1118
5,0.9354,0.8677,0.9465,0.8142,0.0029,0.8852,0.6982,0.4312,0.4933,0.4213,0.3105,-0.3124,0.9338,0.9955,0.8145,0.1175
6,0.9353,0.8684,0.9460,0.8117,0.0022,0.8850,0.6429,0.4288,0.4920,0.4185,0.3056,-0.3101,0.9346,0.9955,0.8117,0.1096
7,0.9357,0.8687,0.9446,0.8146,0.0029,0.8849,0.6290,0.4359,0.4946,0.4314,0.3112,-0.3215,0.9347,0.9951,0.8149,0.1146
8,0.9357,0.8685,0.9466,0.8141,0.0014,0.8855,0.6621,0.4276,0.4882,0.4185,0.3091,-0.3142,0.9342,0.9957,0.8142,0.1197
9,0.9360,0.8688,0.9463,0.8126,0.0043,0.8854,0.6951,0.4299,0.4952,0.4155,0.3121,-0.3053,0.9352,0.9957,0.8128,0.1312
10,0.9358,0.8691,0.9471,0.8145,0.0036,0.8861,0.6897,0.4256,0.4848,0.4188,0.3051,-0.3192,0.9346,0.9956,0.8145,0.1175
11,0.9349,0.8668,0.9440,0.8111,0.0043,0.8833,0.6675,0.4346,0.4986,0.4230,0.3129,-0.3099,0.9340,0.9953,0.8111,0.1110
12,0.9350,0.8681,0.9443,0.8102,0.0022,0.8839,0.6699,0.4395,0.5040,0.4293,0.3137,-0.3209,0.9341,0.9957,0.8103,0.1154
13,0.9354,0.8683,0.9457,0.8140,0.0029,0.8851,0.6357,0.4369,0.4966,0.4317,0.3107,-0.3172,0.9341,0.9954,0.8142,0.1074
14,0.9368,0.8694,0.9439,0.8156,0.0050,0.8851,0.7064,0.4413,0.5023,0.4358,0.3130,-0.3236,0.9365,0.9956,0.8157,0.1182
15,0.9360,0.8694,0.9452,0.8138,0.0043,0.8854,0.6520,0.4382,0.4961,0.4340,0.3148,-0.3168,0.9352,0.9956,0.8139,0.1125
16,0.9351,0.8676,0.9465,0.8102,0.0029,0.8846,0.6553,0.4342,0.4962,0.4251,0.3123,-0.3199,0.9345,0.9952,0.8104,0.1233
17,0.9355,0.8687,0.9462,0.8119,0.0036,0.8852,0.6874,0.4334,0.4925,0.4293,0.3057,-0.3183,0.9350,0.9953,0.8122,0.1161
18,0.9359,0.8692,0.9466,0.8132,0.0079,0.8858,0.6894,0.4303,0.4909,0.4222,0.3097,-0.3178,0.9355,0.9953,0.8133,0.1132
19,0.9361,0.8699,0.9452,0.8134,0.0007,0.8855,0.6948,0.4375,0.4962,0.4333,0.3123,-0.3216,0.9354,0.9957,0.8135,0.1146
20,0.9360,0.8689,0.9463,0.8154,0.0036,0.8858,0.6816,0.4274,0.4896,0.4171,0.3075,-0.3115,0.9346,0.9956,0.8157,0.1161
21,0.9356,0.8687,0.9455,0.8113,0.0050,0.8848,0.7078,0.4260,0.4858,0.4195,0.3028,-0.3131,0.9351,0.9953,0.8115,0.1269
22,0.9355,0.8681,0.9459,0.8146,0.0036,0.8852,0.6920,0.4349,0.4943,0.4281,0.3143,-0.3125,0.9340,0.9956,0.8148,0.1125
23,0.9362,0.8682,0.9454,0.8163,0.0022,0.8852,0.6482,0.4266,0.4871,0.4188,0.3044,-0.3122,0.9348,0.9956,0.8163,0.1218
24,0.9350,0.8673,0.9463,0.8124,0.0050,0.8847,0.6571,0.4243,0.4826,0.4181,0.3048,-0.3138,0.9339,0.9952,0.8125,0.1146
25,0.9350,0.8674,0.9450,0.8121,0.0087,0.8842,0.6905,0.4395,0.5014,0.4326,0.3121,-0.3274,0.9338,0.9950,0.8122,0.1327
