epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8670,0.9953,0.3292,0.0948,0.1629,0.5880,0.0210,4.5613,13.5461,-0.7565,-7.6065,-2.3227,1.0000,1.0000,0.1044,0.1629
2,0.8517,0.9999,0.0115,0.0000,0.1009,0.4456,0.0080,0.5872,12.4568,-8.1403,-10.8743,-2.5311,1.0000,0.9997,0.0000,0.1009
3,0.8517,0.9998,0.0045,0.0000,0.1060,0.4427,0.0051,-0.1191,12.1152,-9.2950,-11.4520,-2.5774,1.0000,0.9997,0.0000,0.1060
4,0.8516,0.9998,0.0028,0.0000,0.0959,0.4419,0.0036,-0.5359,11.8845,-9.9391,-11.8060,-2.6780,1.0000,0.9998,0.0000,0.0959
5,0.8517,0.9997,0.0017,0.0000,0.0995,0.4415,0.0023,-0.8271,11.6985,-10.3607,-12.0592,-2.7418,1.0000,0.9997,0.0000,0.0995
6,0.8517,0.9996,0.0016,0.0000,0.0959,0.4414,0.0021,-1.0571,11.5509,-10.6876,-12.2710,-2.8589,1.0000,0.9999,0.0000,0.0959
7,0.8516,0.9993,0.0011,0.0000,0.0908,0.4410,0.0017,-1.2406,11.4506,-10.9769,-12.4164,-2.8700,1.0000,0.9999,0.0000,0.0908
8,0.8517,0.9992,0.0011,0.0000,0.0923,0.4409,0.0015,-1.3995,11.3364,-11.1853,-12.5747,-2.9492,1.0000,0.9999,0.0000,0.0923
9,0.8517,0.9991,0.0007,0.0000,0.0908,0.4407,0.0014,-1.5364,11.2454,-11.3804,-12.6902,-3.0172,1.0000,0.9999,0.0000,0.0908
10,0.8516,0.9988,0.0007,0.0000,0.0865,0.4406,0.0011,-1.6640,11.1365,-11.5287,-12.8198,-3.0689,1.0000,1.0000,0.0000,0.0865
11,0.8516,0.9986,0.0006,0.0000,0.0836,0.4404,0.0012,-1.7721,11.0764,-11.6970,-12.9082,-3.0815,1.0000,0.9999,0.0000,0.0836
12,0.8516,0.9980,0.0005,0.0000,0.0815,0.4401,0.0017,-1.8721,10.9968,-11.8208,-13.0027,-3.1769,1.0000,1.0000,0.0000,0.0815
13,0.8513,0.9962,0.0010,0.0000,0.0512,0.4392,0.0046,-1.9880,10.5471,-11.4640,-13.4307,-3.6991,1.0000,1.0000,0.0000,0.0512
14,0.8510,0.9856,0.0031,0.0000,0.0087,0.4351,0.0066,-2.1659,9.4981,-10.4050,-14.4093,-5.3170,1.0000,1.0000,0.0000,0.0087
15,0.8509,0.9766,0.0042,0.0000,0.0014,0.4315,0.0055,-2.3208,9.0288,-10.0553,-15.0002,-6.3743,1.0000,1.0000,0.0000,0.0014
16,0.8509,0.9691,0.0051,0.0000,0.0000,0.4286,0.0040,-2.4629,8.7963,-10.0185,-15.3539,-6.9836,1.0000,1.0000,0.0000,0.0000
17,0.8509,0.9630,0.0050,0.0000,0.0000,0.4258,0.0066,-2.5938,8.6393,-10.0685,-15.6221,-7.3946,1.0000,1.0000,0.0000,0.0000
18,0.8509,0.9574,0.0057,0.0000,0.0000,0.4236,0.0055,-2.7299,8.4594,-10.1178,-15.8630,-7.7328,1.0000,1.0000,0.0000,0.0000
19,0.8509,0.9524,0.0051,0.0000,0.0000,0.4212,0.0068,-2.8569,8.3434,-10.2319,-16.0547,-7.9782,1.0000,1.0000,0.0000,0.0000
20,0.8509,0.9431,0.0057,0.0000,0.0000,0.4173,0.0042,-2.9901,8.1166,-10.2199,-16.3084,-8.2877,1.0000,1.0000,0.0000,0.0000
21,0.8509,0.9391,0.0050,0.0000,0.0000,0.4153,0.0065,-3.1073,8.0835,-10.4252,-16.4302,-8.4277,1.0000,1.0000,0.0000,0.0000
22,0.8509,0.9338,0.0047,0.0000,0.0000,0.4128,0.0058,-3.2176,7.9786,-10.5203,-16.5965,-8.6320,1.0000,1.0000,0.0000,0.0000
23,0.8509,0.9264,0.0052,0.0000,0.0000,0.4098,0.0049,-3.3330,7.7920,-10.5244,-16.8085,-8.8355,1.0000,1.0000,0.0000,0.0000
24,0.8509,0.9236,0.0048,0.0000,0.0000,0.4084,0.0030,-3.4358,7.7769,-10.7266,-16.8973,-8.9142,1.0000,1.0000,0.0000,0.0000
25,0.8509,0.9200,0.0042,0.0000,0.0000,0.4066,0.0037,-3.5398,7.6909,-10.8392,-17.0312,-9.0373,1.0000,1.0000,0.0000,0.0000
