epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9969,0.9957,0.9969,0.9921,0.9178,0.9950,0.0565,9.5390,10.2834,9.5076,7.7330,2.3974,0.9976,0.9986,0.9931,0.9380
2,0.9971,0.9962,0.9967,0.9927,0.9293,0.9953,0.0617,9.1279,9.9375,9.0083,7.3559,2.3190,0.9979,0.9985,0.9936,0.9445
3,0.9971,0.9960,0.9967,0.9933,0.9322,0.9954,0.0449,8.7602,9.5370,8.6524,7.0345,2.3047,0.9978,0.9984,0.9941,0.9438
4,0.9973,0.9962,0.9968,0.9938,0.9380,0.9956,0.0496,8.5187,9.2563,8.4339,6.8395,2.2135,0.9980,0.9986,0.9944,0.9481
5,0.9976,0.9969,0.9969,0.9943,0.9272,0.9959,0.0614,8.2892,8.9820,8.2392,6.6375,2.1695,0.9984,0.9987,0.9953,0.9416
6,0.9974,0.9964,0.9968,0.9940,0.9286,0.9956,0.0488,8.0546,8.8085,7.9185,6.4496,2.1564,0.9981,0.9986,0.9948,0.9416
7,0.9974,0.9964,0.9971,0.9939,0.9409,0.9959,0.0414,7.8783,8.5691,7.7915,6.3213,2.0758,0.9980,0.9987,0.9946,0.9546
8,0.9974,0.9965,0.9967,0.9937,0.9250,0.9956,0.0448,7.7070,8.4304,7.5764,6.1693,2.0145,0.9982,0.9986,0.9946,0.9430
9,0.9976,0.9966,0.9970,0.9946,0.9423,0.9960,0.0344,7.5656,8.2820,7.4154,6.1001,1.9794,0.9981,0.9987,0.9952,0.9531
10,0.9976,0.9966,0.9971,0.9934,0.9394,0.9959,0.0360,7.3980,8.1355,7.2386,5.8852,1.9573,0.9982,0.9989,0.9944,0.9510
11,0.9975,0.9968,0.9970,0.9943,0.9445,0.9961,0.0396,7.2858,7.9160,7.2482,5.7478,1.9274,0.9983,0.9985,0.9949,0.9524
12,0.9973,0.9964,0.9969,0.9933,0.9416,0.9957,0.0260,7.2123,7.8290,7.1764,5.7099,1.8813,0.9979,0.9986,0.9940,0.9539
13,0.9974,0.9966,0.9973,0.9937,0.9445,0.9960,0.0292,7.0762,7.7246,6.9857,5.6251,1.8935,0.9979,0.9987,0.9943,0.9539
14,0.9976,0.9968,0.9972,0.9939,0.9466,0.9961,0.0444,7.0409,7.6692,6.9884,5.5410,1.8588,0.9983,0.9987,0.9948,0.9589
15,0.9974,0.9967,0.9973,0.9938,0.9373,0.9960,0.0438,6.8889,7.4786,6.8548,5.4466,1.8787,0.9981,0.9986,0.9945,0.9503
16,0.9973,0.9966,0.9971,0.9938,0.9373,0.9959,0.0311,6.7587,7.3268,6.7449,5.3209,1.8051,0.9979,0.9985,0.9945,0.9488
17,0.9973,0.9965,0.9971,0.9938,0.9430,0.9959,0.0299,6.6573,7.2381,6.6209,5.2402,1.7987,0.9980,0.9985,0.9946,0.9531
18,0.9975,0.9966,0.9968,0.9941,0.9452,0.9959,0.0329,6.6240,7.1809,6.6299,5.1568,1.7882,0.9982,0.9985,0.9949,0.9524
19,0.9975,0.9969,0.9974,0.9938,0.9409,0.9962,0.0395,6.5426,7.0840,6.5492,5.1175,1.7707,0.9982,0.9987,0.9943,0.9510
20,0.9976,0.9969,0.9969,0.9945,0.9358,0.9961,0.0274,6.4609,7.0029,6.4609,5.0510,1.7240,0.9984,0.9985,0.9953,0.9474
21,0.9973,0.9966,0.9974,0.9932,0.9445,0.9960,0.0246,6.3881,6.9358,6.3726,4.9996,1.7559,0.9979,0.9987,0.9940,0.9517
22,0.9974,0.9968,0.9969,0.9941,0.9380,0.9960,0.0208,6.3669,6.9434,6.3278,4.9574,1.7260,0.9982,0.9984,0.9949,0.9488
23,0.9974,0.9966,0.9967,0.9939,0.9373,0.9957,0.0466,6.2969,6.8351,6.2750,4.9564,1.6749,0.9981,0.9985,0.9948,0.9459
24,0.9974,0.9965,0.9972,0.9939,0.9430,0.9960,0.0442,6.2167,6.7229,6.2296,4.8710,1.6566,0.9980,0.9986,0.9947,0.9524
25,0.9973,0.9965,0.9972,0.9932,0.9416,0.9959,0.0309,6.1786,6.6792,6.1953,4.8346,1.6955,0.9980,0.9987,0.9941,0.9524
