epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8824,0.9862,0.6294,0.2062,0.2329,0.7235,0.1118,5.9440,11.6457,3.4273,-4.0779,-1.8422,0.9999,0.9993,0.2120,0.2350
2,0.8513,0.9983,0.0475,0.0004,0.1781,0.4604,0.0275,1.1052,10.1830,-5.2903,-8.4350,-1.9723,1.0000,0.9972,0.0004,0.1781
3,0.8515,0.9957,0.0169,0.0000,0.1795,0.4466,0.0161,0.0854,9.5835,-6.8150,-9.3443,-2.1650,1.0000,0.9976,0.0000,0.1795
4,0.8517,0.9918,0.0103,0.0000,0.1716,0.4422,0.0111,-0.4457,9.2467,-7.5825,-9.8151,-2.3321,1.0000,0.9983,0.0000,0.1716
5,0.8518,0.9878,0.0076,0.0000,0.1593,0.4392,0.0097,-0.8158,8.9806,-8.0802,-10.1500,-2.5089,1.0000,0.9988,0.0000,0.1593
6,0.8518,0.9825,0.0061,0.0000,0.1543,0.4362,0.0088,-1.0965,8.7664,-8.4444,-10.4038,-2.6329,1.0000,0.9990,0.0000,0.1543
7,0.8517,0.9789,0.0048,0.0000,0.1384,0.4340,0.0067,-1.3264,8.5912,-8.7446,-10.6057,-2.7590,1.0000,0.9991,0.0000,0.1384
8,0.8518,0.9732,0.0047,0.0000,0.1283,0.4313,0.0057,-1.5217,8.4418,-8.9972,-10.7835,-2.8536,1.0000,0.9994,0.0000,0.1283
9,0.8518,0.9696,0.0042,0.0000,0.1305,0.4295,0.0060,-1.6873,8.3104,-9.2088,-10.9271,-2.9264,1.0000,0.9995,0.0000,0.1305
10,0.8518,0.9642,0.0037,0.0000,0.1233,0.4269,0.0052,-1.8398,8.1573,-9.3647,-11.0712,-3.0269,1.0000,0.9996,0.0000,0.1233
11,0.8518,0.9619,0.0034,0.0000,0.1233,0.4257,0.0042,-1.9712,8.0629,-9.5443,-11.1825,-3.0827,1.0000,0.9997,0.0000,0.1233
12,0.8518,0.9571,0.0032,0.0000,0.1168,0.4235,0.0051,-2.0907,7.9567,-9.6823,-11.2939,-3.1338,1.0000,0.9997,0.0000,0.1168
13,0.8517,0.9457,0.0040,0.0000,0.1017,0.4187,0.0223,-2.2181,7.6152,-9.5292,-11.5664,-3.3268,1.0000,0.9998,0.0000,0.1017
14,0.8510,0.8671,0.0222,0.0000,0.0137,0.3908,0.0232,-2.4406,5.6263,-7.3880,-13.0565,-5.3852,1.0000,0.9999,0.0000,0.0137
15,0.8509,0.8424,0.0292,0.0000,0.0007,0.3827,0.0207,-2.5767,5.1267,-6.9713,-13.6187,-6.3688,1.0000,1.0000,0.0000,0.0007
16,0.8509,0.8422,0.0272,0.0000,0.0007,0.3818,0.0263,-2.6723,5.1550,-7.1627,-13.8006,-6.8170,1.0000,1.0000,0.0000,0.0007
17,0.8509,0.8407,0.0261,0.0000,0.0000,0.3807,0.0207,-2.7632,5.1463,-7.3138,-13.9578,-7.1688,1.0000,1.0000,0.0000,0.0000
18,0.8509,0.8408,0.0238,0.0000,0.0000,0.3798,0.0209,-2.8474,5.1873,-7.5241,-14.0582,-7.3638,1.0000,1.0000,0.0000,0.0000
19,0.8509,0.8392,0.0231,0.0000,0.0000,0.3788,0.0268,-2.9202,5.1519,-7.6187,-14.1749,-7.5856,1.0000,1.0000,0.0000,0.0000
20,0.8509,0.8302,0.0249,0.0000,0.0000,0.3756,0.0200,-3.0074,4.9862,-7.5853,-14.3604,-7.8210,1.0000,1.0000,0.0000,0.0000
21,0.8509,0.8293,0.0231,0.0000,0.0000,0.3744,0.0198,-3.0818,4.9906,-7.7435,-14.4343,-7.9303,1.0000,1.0000,0.0000,0.0000
22,0.8509,0.8266,0.0227,0.0000,0.0000,0.3730,0.0223,-3.1568,4.9401,-7.8354,-14.5334,-8.0642,1.0000,1.0000,0.0000,0.0000
23,0.8509,0.8237,0.0222,0.0000,0.0000,0.3716,0.0147,-3.2330,4.8893,-7.9342,-14.6218,-8.1634,1.0000,1.0000,0.0000,0.0000
24,0.8509,0.8237,0.0211,0.0000,0.0000,0.3711,0.0169,-3.2931,4.9089,-8.0805,-14.6774,-8.2470,1.0000,1.0000,0.0000,0.0000
25,0.8509,0.8191,0.0208,0.0000,0.0000,0.3690,0.0231,-3.3550,4.8523,-8.1380,-14.7671,-8.3447,1.0000,1.0000,0.0000,0.0000
