epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9363,0.8839,0.9403,0.8168,0.0851,0.8908,0.6441,1.0891,1.0687,1.3315,0.5559,-0.7488,0.9373,0.9911,0.8188,0.1774
2,0.9373,0.8749,0.9477,0.8226,0.0151,0.8901,0.6000,0.4769,0.5445,0.4749,0.3207,-0.3326,0.9354,0.9954,0.8233,0.1204
3,0.9369,0.8737,0.9473,0.8193,0.0115,0.8889,0.6412,0.4691,0.5444,0.4546,0.3234,-0.3139,0.9351,0.9959,0.8198,0.1240
4,0.9360,0.8716,0.9463,0.8171,0.0065,0.8873,0.6519,0.4759,0.5531,0.4607,0.3271,-0.3240,0.9339,0.9957,0.8173,0.1190
5,0.9368,0.8748,0.9497,0.8179,0.0072,0.8902,0.6454,0.4596,0.5311,0.4468,0.3200,-0.3121,0.9357,0.9957,0.8180,0.1146
6,0.9377,0.8741,0.9500,0.8246,0.0043,0.8909,0.6528,0.4420,0.5111,0.4292,0.3088,-0.3062,0.9357,0.9955,0.8246,0.1161
7,0.9367,0.8741,0.9493,0.8170,0.0043,0.8896,0.6238,0.4583,0.5377,0.4363,0.3205,-0.3012,0.9354,0.9959,0.8171,0.1233
8,0.9372,0.8737,0.9479,0.8191,0.0087,0.8892,0.6829,0.4654,0.5367,0.4541,0.3231,-0.3212,0.9358,0.9958,0.8196,0.1218
9,0.9374,0.8737,0.9488,0.8234,0.0050,0.8901,0.6679,0.4555,0.5273,0.4421,0.3173,-0.3223,0.9350,0.9960,0.8235,0.1161
10,0.9369,0.8732,0.9479,0.8209,0.0072,0.8892,0.7003,0.4610,0.5317,0.4498,0.3194,-0.3143,0.9347,0.9958,0.8212,0.1161
11,0.9360,0.8728,0.9482,0.8162,0.0022,0.8884,0.6915,0.4539,0.5315,0.4315,0.3225,-0.3088,0.9342,0.9959,0.8163,0.1132
12,0.9370,0.8748,0.9497,0.8193,0.0029,0.8903,0.6146,0.4540,0.5315,0.4327,0.3201,-0.3089,0.9354,0.9959,0.8195,0.1197
13,0.9369,0.8739,0.9482,0.8201,0.0072,0.8895,0.7055,0.4604,0.5336,0.4455,0.3214,-0.3134,0.9352,0.9956,0.8204,0.1168
14,0.9375,0.8735,0.9480,0.8232,0.0065,0.8897,0.6349,0.4568,0.5349,0.4354,0.3206,-0.3055,0.9353,0.9959,0.8233,0.1175
15,0.9371,0.8736,0.9487,0.8200,0.0065,0.8896,0.6506,0.4537,0.5266,0.4386,0.3158,-0.3080,0.9351,0.9961,0.8203,0.1233
16,0.9377,0.8738,0.9499,0.8242,0.0022,0.8907,0.6443,0.4422,0.5113,0.4293,0.3086,-0.3036,0.9351,0.9961,0.8244,0.1226
17,0.9372,0.8745,0.9493,0.8187,0.0065,0.8900,0.6335,0.4538,0.5241,0.4415,0.3161,-0.3183,0.9359,0.9959,0.8189,0.1262
18,0.9365,0.8736,0.9479,0.8177,0.0072,0.8889,0.6434,0.4573,0.5307,0.4431,0.3156,-0.3139,0.9348,0.9960,0.8178,0.1139
19,0.9374,0.8751,0.9495,0.8214,0.0058,0.8907,0.6269,0.4469,0.5162,0.4348,0.3111,-0.3087,0.9355,0.9959,0.8217,0.1218
20,0.9371,0.8737,0.9495,0.8210,0.0065,0.8900,0.6540,0.4551,0.5315,0.4355,0.3194,-0.3117,0.9350,0.9959,0.8212,0.1211
21,0.9369,0.8732,0.9493,0.8198,0.0065,0.8895,0.6182,0.4555,0.5279,0.4405,0.3188,-0.3055,0.9349,0.9959,0.8199,0.1226
22,0.9367,0.8728,0.9492,0.8196,0.0094,0.8893,0.6473,0.4591,0.5293,0.4487,0.3171,-0.3184,0.9344,0.9959,0.8200,0.1247
23,0.9370,0.8733,0.9491,0.8206,0.0014,0.8896,0.6509,0.4509,0.5264,0.4312,0.3179,-0.3059,0.9351,0.9960,0.8208,0.1146
24,0.9373,0.8743,0.9502,0.8212,0.0043,0.8906,0.6664,0.4534,0.5252,0.4398,0.3147,-0.3074,0.9356,0.9961,0.8212,0.1089
25,0.9374,0.8743,0.9497,0.8205,0.0043,0.8903,0.7035,0.4523,0.5240,0.4379,0.3161,-0.3100,0.9356,0.9961,0.8207,0.1190
