epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8678,0.9974,0.3155,0.0965,0.1651,0.5835,0.0205,5.4098,15.8879,-1.1640,-7.7045,-2.4266,1.0000,1.0000,0.1102,0.1651
2,0.8517,1.0000,0.0117,0.0000,0.0988,0.4457,0.0068,1.2260,14.9885,-9.2352,-11.0565,-2.5178,1.0000,0.9999,0.0000,0.0988
3,0.8518,0.9999,0.0045,0.0000,0.1067,0.4428,0.0051,0.4742,14.5592,-10.3962,-11.6687,-2.5023,1.0000,0.9999,0.0000,0.1067
4,0.8518,0.9999,0.0027,0.0000,0.1081,0.4421,0.0020,0.0426,14.3203,-11.0779,-11.9973,-2.5178,1.0000,0.9999,0.0000,0.1081
5,0.8518,0.9999,0.0019,0.0000,0.1074,0.4417,0.0021,-0.2516,14.1328,-11.5065,-12.2488,-2.5454,1.0000,0.9999,0.0000,0.1074
6,0.8518,0.9999,0.0014,0.0000,0.1038,0.4415,0.0021,-0.4803,13.9910,-11.8449,-12.4398,-2.6018,1.0000,0.9999,0.0000,0.1038
7,0.8518,0.9999,0.0010,0.0000,0.1060,0.4413,0.0014,-0.6652,13.8715,-12.1142,-12.5923,-2.6271,1.0000,0.9999,0.0000,0.1060
8,0.8518,0.9997,0.0009,0.0000,0.1081,0.4413,0.0014,-0.8256,13.7526,-12.3269,-12.7373,-2.6534,1.0000,0.9999,0.0000,0.1081
9,0.8518,0.9998,0.0007,0.0000,0.1060,0.4412,0.0013,-0.9701,13.6300,-12.4964,-12.8824,-2.7196,1.0000,0.9999,0.0000,0.1060
10,0.8518,0.9997,0.0005,0.0000,0.1002,0.4410,0.0011,-1.0932,13.5331,-12.6555,-12.9877,-2.7486,1.0000,1.0000,0.0000,0.1002
11,0.8518,0.9998,0.0005,0.0000,0.1045,0.4411,0.0012,-1.2038,13.4553,-12.8083,-13.0812,-2.8018,1.0000,1.0000,0.0000,0.1045
12,0.8517,0.9997,0.0004,0.0000,0.1009,0.4410,0.0022,-1.2979,13.3938,-12.9422,-13.1671,-2.7959,1.0000,0.9999,0.0000,0.1009
13,0.8517,0.9996,0.0005,0.0000,0.1002,0.4409,0.0013,-1.3905,13.3201,-13.0556,-13.2600,-2.8577,1.0000,1.0000,0.0000,0.1002
14,0.8516,0.9992,0.0006,0.0000,0.0786,0.4406,0.0021,-1.4886,13.0863,-12.9615,-13.4834,-3.1464,1.0000,1.0000,0.0000,0.0786
15,0.8511,0.9971,0.0014,0.0000,0.0216,0.4396,0.0051,-1.6358,12.2713,-12.1377,-14.3031,-4.5293,1.0000,1.0000,0.0000,0.0216
16,0.8509,0.9922,0.0030,0.0000,0.0029,0.4379,0.0032,-1.7878,11.5243,-11.4056,-15.1025,-5.9016,1.0000,1.0000,0.0000,0.0029
17,0.8509,0.9887,0.0039,0.0000,0.0014,0.4367,0.0057,-1.9257,11.2315,-11.2648,-15.5320,-6.6738,1.0000,1.0000,0.0000,0.0014
18,0.8509,0.9864,0.0040,0.0000,0.0000,0.4357,0.0060,-2.0557,11.0687,-11.2976,-15.8183,-7.2201,1.0000,1.0000,0.0000,0.0000
19,0.8509,0.9820,0.0042,0.0000,0.0000,0.4339,0.0035,-2.1829,10.8445,-11.2602,-16.1035,-7.6664,1.0000,1.0000,0.0000,0.0000
20,0.8509,0.9794,0.0039,0.0000,0.0000,0.4326,0.0029,-2.3003,10.7629,-11.3964,-16.2715,-7.8879,1.0000,1.0000,0.0000,0.0000
21,0.8509,0.9764,0.0040,0.0000,0.0000,0.4313,0.0035,-2.4183,10.5899,-11.4199,-16.4827,-8.1813,1.0000,1.0000,0.0000,0.0000
22,0.8509,0.9735,0.0038,0.0000,0.0000,0.4300,0.0023,-2.5290,10.4885,-11.5212,-16.6441,-8.3890,1.0000,1.0000,0.0000,0.0000
23,0.8509,0.9695,0.0036,0.0000,0.0000,0.4281,0.0041,-2.6346,10.3503,-11.5656,-16.8214,-8.5873,1.0000,1.0000,0.0000,0.0000
24,0.8509,0.9659,0.0036,0.0000,0.0000,0.4265,0.0029,-2.7502,10.2111,-11.6381,-16.9848,-8.7650,1.0000,1.0000,0.0000,0.0000
25,0.8509,0.9631,0.0039,0.0000,0.0000,0.4254,0.0036,-2.8576,10.1304,-11.7689,-17.1058,-8.9016,1.0000,1.0000,0.0000,0.0000
