epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.6640,0.9214,0.9293,0.6294,0.0079,0.6220,0.2478,1.4157,4.4927,3.5725,0.5801,-2.9827,0.9726,0.9978,0.6294,0.0562
2,0.7300,0.9048,0.9214,0.7787,0.1168,0.6804,0.1675,1.6609,3.7034,2.8714,1.6209,-1.5519,0.9503,0.9885,0.7830,0.1983
3,0.8032,0.8861,0.8839,0.8457,0.3951,0.7527,0.1265,1.7468,3.2015,2.0882,2.1703,-0.4727,0.9265,0.9481,0.8601,0.4780
4,0.8408,0.8709,0.8371,0.8637,0.5955,0.7918,0.1136,1.7545,2.8600,1.5668,2.4457,0.1457,0.9099,0.8998,0.8897,0.6640
5,0.8538,0.8565,0.7981,0.8738,0.6857,0.8035,0.1091,1.7282,2.6118,1.2495,2.5776,0.4737,0.8947,0.8551,0.9092,0.7563
6,0.8621,0.8536,0.7981,0.8724,0.7275,0.8129,0.1072,1.7385,2.5389,1.1901,2.6108,0.6143,0.8933,0.8486,0.9135,0.7931
7,0.8589,0.8479,0.7859,0.8702,0.7354,0.8098,0.1066,1.7330,2.4942,1.1487,2.6231,0.6659,0.8911,0.8356,0.9120,0.7967
8,0.8596,0.8407,0.7859,0.8767,0.7491,0.8131,0.1068,1.7293,2.4250,1.1270,2.6319,0.7334,0.8818,0.8298,0.9200,0.8068
9,0.8634,0.8435,0.7859,0.8724,0.7599,0.8154,0.1062,1.7285,2.4106,1.1280,2.6170,0.7587,0.8911,0.8270,0.9193,0.8161
10,0.8636,0.8385,0.7916,0.8745,0.7614,0.8165,0.1049,1.7301,2.4110,1.1548,2.6043,0.7503,0.8854,0.8298,0.9229,0.8161
11,0.8616,0.8313,0.7823,0.8745,0.7578,0.8115,0.1057,1.7308,2.3963,1.1587,2.5902,0.7782,0.8825,0.8277,0.9229,0.8133
12,0.8621,0.8392,0.7902,0.8709,0.7563,0.8142,0.1059,1.7262,2.3663,1.1943,2.5740,0.7701,0.8919,0.8291,0.9200,0.8075
13,0.8630,0.8349,0.7960,0.8717,0.7592,0.8154,0.1055,1.7355,2.4067,1.1961,2.5697,0.7696,0.8846,0.8342,0.9214,0.8118
14,0.8599,0.8342,0.7888,0.8724,0.7556,0.8127,0.1065,1.7220,2.3870,1.1679,2.5555,0.7775,0.8825,0.8298,0.9178,0.8097
15,0.8646,0.8407,0.7974,0.8673,0.7657,0.8178,0.1054,1.7388,2.4101,1.2132,2.5519,0.7800,0.8890,0.8335,0.9185,0.8176
16,0.8619,0.8414,0.7851,0.8709,0.7585,0.8140,0.1058,1.7221,2.3924,1.1738,2.5232,0.7989,0.8882,0.8270,0.9221,0.8104
17,0.8645,0.8378,0.7938,0.8695,0.7664,0.8169,0.1047,1.7289,2.3924,1.2063,2.5143,0.8025,0.8868,0.8298,0.9221,0.8190
18,0.8623,0.8342,0.7924,0.8745,0.7556,0.8142,0.1046,1.7411,2.3939,1.2245,2.5495,0.7967,0.8854,0.8270,0.9272,0.8097
19,0.8612,0.8407,0.7895,0.8637,0.7650,0.8147,0.1049,1.7372,2.4095,1.2040,2.5288,0.8066,0.8882,0.8255,0.9149,0.8161
20,0.8646,0.8349,0.7952,0.8709,0.7671,0.8171,0.1057,1.7343,2.3588,1.2155,2.5441,0.8186,0.8846,0.8320,0.9243,0.8176
