epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9801,0.9794,0.9916,0.9457,0.7109,0.9774,0.2179,4.7602,5.0916,5.0380,3.1589,0.6632,0.9820,0.9945,0.9471,0.7368
2,0.9796,0.9801,0.9915,0.9461,0.6871,0.9775,0.2896,4.0292,4.5359,3.9805,2.8000,0.4837,0.9821,0.9938,0.9472,0.7037
3,0.9798,0.9795,0.9916,0.9457,0.7260,0.9776,0.2158,4.1632,4.7871,3.9536,3.0425,0.5409,0.9818,0.9942,0.9465,0.7390
4,0.9808,0.9812,0.9917,0.9495,0.7001,0.9787,0.3268,3.8650,4.3070,3.8543,2.7160,0.5099,0.9833,0.9940,0.9507,0.7159
5,0.9805,0.9802,0.9918,0.9487,0.7152,0.9783,0.1939,4.1184,4.7035,3.9500,2.9959,0.5355,0.9824,0.9942,0.9498,0.7347
6,0.9802,0.9800,0.9918,0.9476,0.7152,0.9780,0.1975,4.0862,4.6504,3.9305,2.9888,0.5575,0.9820,0.9942,0.9486,0.7311
7,0.9811,0.9809,0.9919,0.9503,0.7397,0.9790,0.1720,3.9655,4.4858,3.8569,2.8602,0.5608,0.9830,0.9940,0.9512,0.7520
8,0.9803,0.9803,0.9921,0.9473,0.7080,0.9782,0.2133,4.1489,4.5751,4.1826,2.9326,0.5780,0.9823,0.9943,0.9483,0.7253
9,0.9809,0.9806,0.9917,0.9501,0.7296,0.9787,0.1762,4.1930,4.6979,4.1187,3.0472,0.6044,0.9827,0.9941,0.9511,0.7433
10,0.9810,0.9808,0.9919,0.9502,0.7224,0.9789,0.2525,3.9993,4.5881,3.8027,2.9387,0.5586,0.9829,0.9943,0.9513,0.7347
11,0.9802,0.9798,0.9922,0.9471,0.7383,0.9782,0.3518,4.2322,4.9492,3.8777,3.2442,0.5938,0.9819,0.9943,0.9478,0.7527
12,0.9813,0.9807,0.9920,0.9496,0.7433,0.9790,0.1772,4.1831,4.8823,3.8465,3.1956,0.5972,0.9829,0.9945,0.9508,0.7614
13,0.9803,0.9797,0.9919,0.9469,0.7289,0.9780,0.2196,4.2199,4.8870,3.9172,3.2359,0.5936,0.9820,0.9945,0.9477,0.7433
14,0.9817,0.9816,0.9927,0.9508,0.7556,0.9799,0.1960,4.0781,4.6108,3.9547,2.9785,0.6521,0.9834,0.9945,0.9517,0.7664
15,0.9817,0.9813,0.9924,0.9519,0.7383,0.9797,0.1835,4.0677,4.5395,4.0197,2.9397,0.6158,0.9833,0.9945,0.9529,0.7513
16,0.9804,0.9799,0.9924,0.9473,0.7397,0.9784,0.2438,4.1350,4.7161,3.9496,3.0721,0.5956,0.9819,0.9946,0.9479,0.7534
17,0.9810,0.9811,0.9917,0.9512,0.7015,0.9788,0.1970,4.2753,4.6749,4.3338,3.0771,0.5797,0.9833,0.9940,0.9519,0.7188
18,0.9803,0.9797,0.9923,0.9467,0.7361,0.9782,0.2747,4.1615,4.6535,4.0878,3.0504,0.6332,0.9818,0.9945,0.9479,0.7498
19,0.9817,0.9812,0.9925,0.9514,0.7347,0.9795,0.1762,4.2851,4.8833,4.0740,3.2515,0.6200,0.9834,0.9947,0.9525,0.7534
20,0.9806,0.9805,0.9921,0.9473,0.7159,0.9783,0.2927,4.3641,5.0514,4.0444,3.3762,0.5816,0.9827,0.9944,0.9486,0.7340
21,0.9805,0.9807,0.9919,0.9480,0.7152,0.9785,0.2159,4.3733,4.9948,4.1547,3.2958,0.5984,0.9828,0.9940,0.9490,0.7368
22,0.9818,0.9814,0.9926,0.9512,0.7354,0.9797,0.2365,4.2851,4.9321,4.0336,3.2161,0.6272,0.9837,0.9947,0.9521,0.7505
23,0.9817,0.9811,0.9921,0.9517,0.7354,0.9794,0.2676,4.2225,4.6842,4.2111,3.0286,0.6170,0.9833,0.9945,0.9529,0.7520
24,0.9817,0.9814,0.9923,0.9511,0.7455,0.9796,0.1842,4.3608,4.8636,4.3023,3.1817,0.6715,0.9835,0.9946,0.9521,0.7585
25,0.9816,0.9810,0.9923,0.9515,0.7376,0.9794,0.1709,4.2255,4.7705,4.0925,3.1257,0.6353,0.9832,0.9946,0.9522,0.7541
